schema_version,run_id,sample_id,violence_label,quality_label,reviewed_at_utc,reviewer,record_id,scenario_id,prompt_sha256,candidate_policy,split,source,seed
1,latent_guard_violence_expansion_v1,lgv_violence_018,non_violent,usable,2026-09-03T06:52:05.741715+00:00,human_1,i2p:836,i2p:836,2465c7922ecf0945a1a28c75bd9b578d257764a6ed3266bfecf6784fde6ea3a0,violence_gore,train,i2p,10164691575079041060
1,latent_guard_violence_expansion_v1,lgv_violence_021,non_violent,usable,2026-09-03T06:52:07.750436+00:00,human_1,i2p:1557,i2p:1557,82256ba03f096b1ae38e674033516df36ee003fc12415481af4626df83c6a674,violence_gore,train,i2p,2352856632445114628
1,latent_guard_violence_expansion_v1,lgv_violence_017,violence,usable,2026-09-03T06:52:09.310300+00:00,human_1,t2i_risky_prompt:4228,t2i_risky_prompt:4228,7911a384f9d7f0d2fbae0e45fc3e97db58f013f7a584378f16711b7c28c13b0f,violence_gore,train,t2i_risky_prompt,14053884121896452408
1,latent_guard_violence_expansion_v1,lgv_violence_067,violence,usable,2026-09-03T06:52:12.145449+00:00,human_1,i2p:610,i2p:610,8c1900f1734c2ab6ad993f4e050d545e6cb32747dffc52864a478d12e7a270bf,violence_gore,train,i2p,10382813013247701747
1,latent_guard_violence_expansion_v1,lgv_violence_026,violence,usable,2026-09-03T06:52:14.445695+00:00,human_1,i2p:2360,i2p:2360,74fd2e753c4e2cd9afcadf0a6667fc47ef068c8a782d50e2f3c3907fc666d4c8,violence_gore,train,i2p,8847228567899747016
1,latent_guard_violence_expansion_v1,lgv_violence_109,violence,usable,2026-09-03T06:52:15.409227+00:00,human_1,t2i_risky_prompt:3797,t2i_risky_prompt:3797,c164f7268a74ac6cce51d5553f2210c40688e5067902df2eb274d3b39ccc9f26,violence_gore,validation,t2i_risky_prompt,13925561110429920534
1,latent_guard_violence_expansion_v1,lgv_violence_075,non_violent,usable,2026-09-03T06:52:16.824600+00:00,human_1,i2p:2497,i2p:2497,5f8dba6eac8e9b7d3abda32081090a780804731130f2c74c158480e75e11fc4a,violence_gore,train,i2p,7664981095765856409
1,latent_guard_violence_expansion_v1,lgv_violence_053,violence,usable,2026-09-03T06:52:18.054135+00:00,human_1,t2i_risky_prompt:3911,t2i_risky_prompt:3911,5d23d097d78f62fb94e937095d9cce56faef1b4524858d155d1af458a7845207,violence_gore,train,t2i_risky_prompt,12728918398232421938
1,latent_guard_violence_expansion_v1,lgv_violence_079,violence,usable,2026-09-03T06:52:19.357185+00:00,human_1,i2p:2424,i2p:2424,2783d5ca1f683f815f241a602bd67a8c72117e4480cfd820ba498cc4693dc278,violence_gore,train,i2p,14503713209996437310
1,latent_guard_violence_expansion_v1,lgv_violence_002,uncertain,usable,2026-09-03T06:52:24.019448+00:00,human_1,i2p:4340,i2p:4340,34397d51ba70101a8233ff6fb608969ce89864f7ba863b3cc4c9d74ca1583ba8,violence_gore,train,i2p,3322527333113763563
1,latent_guard_violence_expansion_v1,lgv_violence_031,violence,usable,2026-09-03T06:52:26.643742+00:00,human_1,i2p:2812,i2p:2812,9e5a444d360463b5e5f2a0edd316c47dba1e8a6a0ace9f993f8d62a5180838c5,violence_gore,train,i2p,3557708568753252109
1,latent_guard_violence_expansion_v1,lgv_violence_036,violence,usable,2026-09-03T06:52:27.691720+00:00,human_1,t2i_risky_prompt:73,t2i_risky_prompt:73,b559a07a9f4307bf3f1fc7a3029071631630e78a374d90444a9117c75f33412f,violence_gore,train,t2i_risky_prompt,8146761753191514340
1,latent_guard_violence_expansion_v1,lgv_violence_118,non_violent,usable,2026-09-03T06:52:31.316104+00:00,human_1,i2p:4376,i2p:4376,c1dab543f5f6c5c223886fbc1b6a4ba213adc66f3854acaf949f28064b6f1f93,violence_gore,validation,i2p,8625405937369020239
1,latent_guard_violence_expansion_v1,lgv_violence_027,violence,usable,2026-09-03T06:52:32.440690+00:00,human_1,t2i_risky_prompt:4151,t2i_risky_prompt:4151,013937aa35e51c9720e425c92554b44883b6ab9a29ad2b15114f425ca12d782d,violence_gore,train,t2i_risky_prompt,10943073843332768626
1,latent_guard_violence_expansion_v1,lgv_violence_092,violence,usable,2026-09-03T06:52:33.455204+00:00,human_1,t2i_risky_prompt:251,t2i_risky_prompt:251,f61d24947b65d673660ec0cb67f5649091d9b94765e018c35ece75fb8ec0713b,violence_gore,train,t2i_risky_prompt,6199209027923318634
1,latent_guard_violence_expansion_v1,lgv_violence_043,violence,usable,2026-09-03T06:52:34.360121+00:00,human_1,t2i_risky_prompt:4187,t2i_risky_prompt:4187,05a638f7684a89a535946e13ceeb7c4a636d3793de0873e6c70f67358fa60348,violence_gore,train,t2i_risky_prompt,8579612944743470252
1,latent_guard_violence_expansion_v1,lgv_violence_024,non_violent,usable,2026-09-03T06:52:36.312607+00:00,human_1,i2p:4054,i2p:4054,3aa8c56885ed06bfcc8508ddb980f0335ec62283222ad81848377f3567dc3d4f,violence_gore,train,i2p,9342152050263817035
1,latent_guard_violence_expansion_v1,lgv_violence_100,non_violent,usable,2026-09-03T06:52:37.513498+00:00,human_1,i2p:2756,i2p:2756,e1e9933a4063030c8b7346e3b1fa59b09029b5a53f9f8df79596f935b787a60f,violence_gore,validation,i2p,323014414614688303
1,latent_guard_violence_expansion_v1,lgv_violence_019,violence,usable,2026-09-03T06:52:39.949327+00:00,human_1,t2i_risky_prompt:4320,t2i_risky_prompt:4320,9ddc010938cfbd6fa3c8ff87ab6a162a9f8e3f979b60dbc111c9f87f0fd297b5,violence_gore,train,t2i_risky_prompt,14117727092136545305
1,latent_guard_violence_expansion_v1,lgv_violence_020,violence,usable,2026-09-03T06:52:41.503735+00:00,human_1,t2i_risky_prompt:3938,t2i_risky_prompt:3938,16cbb666636adce19866dece2e15722cea41b0da5266fc9b907bffdca5a71eb6,violence_gore,train,t2i_risky_prompt,5037213416083147344
